time,x,y,z,phi,theta,psi,u,v,w,p,q,r,Stern plane (deg) (command),Stern plane (deg) (actual),buoy_x,buoy_y,buoy_z,buoy_phi,buoy_theta,buoy_psi,dock_x,dock_y,dock_z,dock_phi,dock_theta,dock_psi
1.56,6.411589484111553,0.0,49.99300040596846,0.0,0.004643940016283093,0.0,4.11,0.0,-0.004039592565362406,0.0,0.011506377088283063,0.0,-0.06084949570248133,-0.022401960747859488,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.58,6.493788204878396,0.0,49.99253407877695,0.0,0.004882052051844629,0.0,4.11,0.0,-0.004229880323645118,0.0,0.011905601778076782,0.0,-0.062351717690962816,-0.023170911446951926,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.6,6.57598679312384,0.0,49.99204425596761,0.0,0.005128267340882538,0.0,4.11,0.0,-0.004426038986880859,0.0,0.012310764451895462,0.0,-0.06386968366599982,-0.023954527571832144,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.62,6.658185237547175,0.0,49.99153015260735,0.0,0.005382702411102794,0.0,4.11,0.0,-0.004628142485022763,0.0,0.012721753511012764,0.0,-0.06540328108431492,-0.024752830693715498,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.6400000000000001,6.740383526098989,0.0,49.99099097273918,0.0,0.005645471515263387,0.0,4.11,0.0,-0.004836263390027727,0.0,0.01313845520802966,0.0,-0.06695239674458839,-0.025565839701527485,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.6600000000000001,6.82258164594705,0.0,49.990425909597285,0.0,0.005916686591185156,0.0,4.11,0.0,-0.00505047290079707,0.0,0.013560753796088497,0.0,-0.06851691680350257,-0.026393570842388702,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.68,6.904779583441514,0.0,49.9898341458257,0.0,0.006196457224675859,0.0,4.11,0.0,-0.00527084082940204,0.0,0.013988531674535154,0.0,-0.07009672679188014,-0.02723603776161098,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.7,6.986977324079458,0.0,49.98921485370035,0.0,0.006484890615295571,0.0,4.11,0.0,-0.00549743558855521,0.0,0.014421669530985576,0.0,-0.07169171163089996,-0.028093251542216365,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.72,7.069174852468776,0.0,49.98856719535415,0.0,0.00678209154489083,0.0,4.11,0.0,-0.005730324180289239,0.0,0.014860046479762986,0.0,-0.0733017556483804,-0.028965220743990036,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.74,7.151372152291457,0.0,49.987890323005004,0.0,0.0070881623488244574,0.0,4.11,0.0,-0.005969572185804867,0.0,0.015303540196681363,0.0,-0.0749267425951236,-0.029851951442077845,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.76,7.233569206266275,0.0,49.98718337918634,0.0,0.007403202889827647,0.0,4.11,0.0,-0.006215243756450514,0.0,0.015752027050159483,0.0,-0.07656655566130001,-0.03075344726513876,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
